epoch 0   	 train_loss = 5.64620 	 valid_loss = 3.70696
epoch 1   	 train_loss = 3.50335 	 valid_loss = 3.58360
epoch 2   	 train_loss = 3.37679 	 valid_loss = 3.38571
epoch 3   	 train_loss = 3.20760 	 valid_loss = 3.28379
epoch 4   	 train_loss = 3.06902 	 valid_loss = 3.01568
epoch 5   	 train_loss = 2.66252 	 valid_loss = 2.41471
epoch 6   	 train_loss = 2.24779 	 valid_loss = 2.04086
epoch 7   	 train_loss = 1.97303 	 valid_loss = 1.78506
epoch 8   	 train_loss = 1.77705 	 valid_loss = 1.60346
epoch 9   	 train_loss = 1.58931 	 valid_loss = 1.45651
epoch 10  	 train_loss = 1.45412 	 valid_loss = 1.45452
epoch 11  	 train_loss = 1.33738 	 valid_loss = 1.36527
epoch 12  	 train_loss = 1.25393 	 valid_loss = 1.28805
epoch 13  	 train_loss = 1.17397 	 valid_loss = 1.29330
epoch 14  	 train_loss = 1.10787 	 valid_loss = 1.28241
epoch 15  	 train_loss = 1.03459 	 valid_loss = 1.29240
epoch 16  	 train_loss = 0.98838 	 valid_loss = 1.29017
epoch 17  	 train_loss = 0.91845 	 valid_loss = 1.33942
epoch 18  	 train_loss = 0.86342 	 valid_loss = 1.34466
epoch 19  	 train_loss = 0.80707 	 valid_loss = 1.39820
epoch 20  	 train_loss = 0.74954 	 valid_loss = 1.47990
epoch 21  	 train_loss = 0.69536 	 valid_loss = 1.34384
epoch 22  	 train_loss = 0.63723 	 valid_loss = 1.54411
epoch 23  	 train_loss = 0.60433 	 valid_loss = 1.51901
