epoch 0   	 train_loss = 5.85198 	 valid_loss = 3.76461
epoch 1   	 train_loss = 3.49706 	 valid_loss = 3.54903
epoch 2   	 train_loss = 3.36343 	 valid_loss = 3.37577
epoch 3   	 train_loss = 3.19661 	 valid_loss = 3.26434
epoch 4   	 train_loss = 3.07327 	 valid_loss = 3.04343
epoch 5   	 train_loss = 2.73446 	 valid_loss = 2.53347
epoch 6   	 train_loss = 2.30858 	 valid_loss = 2.10490
epoch 7   	 train_loss = 2.03929 	 valid_loss = 1.88931
epoch 8   	 train_loss = 1.81402 	 valid_loss = 1.67739
epoch 9   	 train_loss = 1.63565 	 valid_loss = 1.54503
epoch 10  	 train_loss = 1.49435 	 valid_loss = 1.44122
epoch 11  	 train_loss = 1.37929 	 valid_loss = 1.38871
epoch 12  	 train_loss = 1.30033 	 valid_loss = 1.35707
epoch 13  	 train_loss = 1.22005 	 valid_loss = 1.27540
epoch 14  	 train_loss = 1.14142 	 valid_loss = 1.35740
epoch 15  	 train_loss = 1.07425 	 valid_loss = 1.30951
epoch 16  	 train_loss = 1.01460 	 valid_loss = 1.26940
epoch 17  	 train_loss = 0.94411 	 valid_loss = 1.29482
epoch 18  	 train_loss = 0.90126 	 valid_loss = 1.27922
epoch 19  	 train_loss = 0.83614 	 valid_loss = 1.20546
epoch 20  	 train_loss = 0.77349 	 valid_loss = 1.27718
epoch 21  	 train_loss = 0.71983 	 valid_loss = 1.27250
epoch 22  	 train_loss = 0.67849 	 valid_loss = 1.33367
epoch 23  	 train_loss = 0.61861 	 valid_loss = 1.39796
epoch 24  	 train_loss = 0.55963 	 valid_loss = 1.42931
epoch 25  	 train_loss = 0.51716 	 valid_loss = 1.43244
epoch 26  	 train_loss = 0.46490 	 valid_loss = 1.48740
epoch 27  	 train_loss = 0.41799 	 valid_loss = 1.56111
epoch 28  	 train_loss = 0.37709 	 valid_loss = 1.59500
