epoch 0   	 train_loss = 5.58614 	 valid_loss = 3.76264
epoch 1   	 train_loss = 3.48245 	 valid_loss = 3.53789
epoch 2   	 train_loss = 3.32819 	 valid_loss = 3.38756
epoch 3   	 train_loss = 3.18361 	 valid_loss = 3.24989
epoch 4   	 train_loss = 3.05053 	 valid_loss = 2.98352
epoch 5   	 train_loss = 2.61725 	 valid_loss = 2.33143
epoch 6   	 train_loss = 2.17843 	 valid_loss = 1.92558
epoch 7   	 train_loss = 1.88946 	 valid_loss = 1.63853
epoch 8   	 train_loss = 1.65155 	 valid_loss = 1.47054
epoch 9   	 train_loss = 1.46885 	 valid_loss = 1.34537
epoch 10  	 train_loss = 1.33144 	 valid_loss = 1.31378
epoch 11  	 train_loss = 1.22501 	 valid_loss = 1.25891
epoch 12  	 train_loss = 1.13221 	 valid_loss = 1.20408
epoch 13  	 train_loss = 1.06253 	 valid_loss = 1.12124
epoch 14  	 train_loss = 0.96968 	 valid_loss = 1.15391
epoch 15  	 train_loss = 0.90938 	 valid_loss = 1.14155
epoch 16  	 train_loss = 0.83385 	 valid_loss = 1.17309
epoch 17  	 train_loss = 0.78308 	 valid_loss = 1.14547
epoch 18  	 train_loss = 0.70493 	 valid_loss = 1.26667
epoch 19  	 train_loss = 0.65094 	 valid_loss = 1.26719
epoch 20  	 train_loss = 0.61658 	 valid_loss = 1.32588
epoch 21  	 train_loss = 0.55378 	 valid_loss = 1.39914
epoch 22  	 train_loss = 0.50787 	 valid_loss = 1.59779
