epoch 0   	 train_loss = 5.63481 	 valid_loss = 3.66536
epoch 1   	 train_loss = 3.50073 	 valid_loss = 3.49554
epoch 2   	 train_loss = 3.31966 	 valid_loss = 3.29499
epoch 3   	 train_loss = 3.16756 	 valid_loss = 3.20487
epoch 4   	 train_loss = 2.93931 	 valid_loss = 2.79861
epoch 5   	 train_loss = 2.47101 	 valid_loss = 2.35598
epoch 6   	 train_loss = 2.10213 	 valid_loss = 2.05097
epoch 7   	 train_loss = 1.85044 	 valid_loss = 1.80103
epoch 8   	 train_loss = 1.64205 	 valid_loss = 1.61458
epoch 9   	 train_loss = 1.47114 	 valid_loss = 1.46420
epoch 10  	 train_loss = 1.35354 	 valid_loss = 1.48216
epoch 11  	 train_loss = 1.26144 	 valid_loss = 1.32374
epoch 12  	 train_loss = 1.17043 	 valid_loss = 1.35451
epoch 13  	 train_loss = 1.08152 	 valid_loss = 1.27763
epoch 14  	 train_loss = 1.03084 	 valid_loss = 1.25838
epoch 15  	 train_loss = 0.94140 	 valid_loss = 1.30356
epoch 16  	 train_loss = 0.89740 	 valid_loss = 1.34418
epoch 17  	 train_loss = 0.83612 	 valid_loss = 1.34436
epoch 18  	 train_loss = 0.77891 	 valid_loss = 1.24462
epoch 19  	 train_loss = 0.73583 	 valid_loss = 1.46857
epoch 20  	 train_loss = 0.68649 	 valid_loss = 1.36148
epoch 21  	 train_loss = 0.65086 	 valid_loss = 1.42211
epoch 22  	 train_loss = 0.58428 	 valid_loss = 1.62803
epoch 23  	 train_loss = 0.54211 	 valid_loss = 1.47373
epoch 24  	 train_loss = 0.49941 	 valid_loss = 1.51795
epoch 25  	 train_loss = 0.44570 	 valid_loss = 1.57710
epoch 26  	 train_loss = 0.40142 	 valid_loss = 1.69665
epoch 27  	 train_loss = 0.35597 	 valid_loss = 1.75504
