epoch 0   	 train_loss = 5.71590 	 valid_loss = 3.90558
epoch 1   	 train_loss = 3.51285 	 valid_loss = 3.57219
epoch 2   	 train_loss = 3.34572 	 valid_loss = 3.33294
epoch 3   	 train_loss = 3.16932 	 valid_loss = 3.21166
epoch 4   	 train_loss = 2.96855 	 valid_loss = 2.83841
epoch 5   	 train_loss = 2.58886 	 valid_loss = 2.30561
epoch 6   	 train_loss = 2.25130 	 valid_loss = 1.97446
epoch 7   	 train_loss = 2.01159 	 valid_loss = 1.71506
epoch 8   	 train_loss = 1.81349 	 valid_loss = 1.56288
epoch 9   	 train_loss = 1.65458 	 valid_loss = 1.39613
epoch 10  	 train_loss = 1.50480 	 valid_loss = 1.34526
epoch 11  	 train_loss = 1.38339 	 valid_loss = 1.20965
epoch 12  	 train_loss = 1.29429 	 valid_loss = 1.09256
epoch 13  	 train_loss = 1.20235 	 valid_loss = 1.10053
epoch 14  	 train_loss = 1.13122 	 valid_loss = 1.05227
epoch 15  	 train_loss = 1.05995 	 valid_loss = 1.00838
epoch 16  	 train_loss = 1.00553 	 valid_loss = 1.04568
epoch 17  	 train_loss = 0.94252 	 valid_loss = 1.03742
epoch 18  	 train_loss = 0.88625 	 valid_loss = 1.13071
epoch 19  	 train_loss = 0.82460 	 valid_loss = 0.98392
epoch 20  	 train_loss = 0.78174 	 valid_loss = 1.09479
epoch 21  	 train_loss = 0.72561 	 valid_loss = 1.09250
epoch 22  	 train_loss = 0.66396 	 valid_loss = 1.14307
epoch 23  	 train_loss = 0.62306 	 valid_loss = 1.10608
epoch 24  	 train_loss = 0.57437 	 valid_loss = 1.12749
epoch 25  	 train_loss = 0.51130 	 valid_loss = 1.18454
epoch 26  	 train_loss = 0.45519 	 valid_loss = 1.30401
epoch 27  	 train_loss = 0.40220 	 valid_loss = 1.24434
epoch 28  	 train_loss = 0.37984 	 valid_loss = 1.33191
