epoch 0   	 train_loss = 5.98916 	 valid_loss = 3.83678
epoch 1   	 train_loss = 3.51008 	 valid_loss = 3.57105
epoch 2   	 train_loss = 3.36332 	 valid_loss = 3.38152
epoch 3   	 train_loss = 3.19066 	 valid_loss = 3.18910
epoch 4   	 train_loss = 2.98280 	 valid_loss = 2.87884
epoch 5   	 train_loss = 2.58084 	 valid_loss = 2.50300
epoch 6   	 train_loss = 2.23606 	 valid_loss = 2.10073
epoch 7   	 train_loss = 1.99441 	 valid_loss = 1.89844
epoch 8   	 train_loss = 1.79761 	 valid_loss = 1.70807
epoch 9   	 train_loss = 1.62348 	 valid_loss = 1.55772
epoch 10  	 train_loss = 1.49473 	 valid_loss = 1.40998
epoch 11  	 train_loss = 1.37871 	 valid_loss = 1.37992
epoch 12  	 train_loss = 1.28661 	 valid_loss = 1.37755
epoch 13  	 train_loss = 1.21361 	 valid_loss = 1.32006
epoch 14  	 train_loss = 1.12698 	 valid_loss = 1.28122
epoch 15  	 train_loss = 1.05772 	 valid_loss = 1.29984
epoch 16  	 train_loss = 1.00742 	 valid_loss = 1.27767
epoch 17  	 train_loss = 0.92610 	 valid_loss = 1.27341
epoch 18  	 train_loss = 0.87083 	 valid_loss = 1.36178
epoch 19  	 train_loss = 0.81073 	 valid_loss = 1.40040
epoch 20  	 train_loss = 0.75878 	 valid_loss = 1.36760
epoch 21  	 train_loss = 0.69912 	 valid_loss = 1.63354
epoch 22  	 train_loss = 0.64282 	 valid_loss = 1.51630
epoch 23  	 train_loss = 0.59213 	 valid_loss = 1.47221
epoch 24  	 train_loss = 0.54698 	 valid_loss = 1.50290
epoch 25  	 train_loss = 0.48666 	 valid_loss = 1.59863
epoch 26  	 train_loss = 0.43882 	 valid_loss = 1.73411
