epoch 0   	 train_loss = 5.76178 	 valid_loss = 3.65922
epoch 1   	 train_loss = 3.51016 	 valid_loss = 3.57674
epoch 2   	 train_loss = 3.44298 	 valid_loss = 3.46834
epoch 3   	 train_loss = 3.30624 	 valid_loss = 3.31182
epoch 4   	 train_loss = 3.19535 	 valid_loss = 3.32326
epoch 5   	 train_loss = 3.17106 	 valid_loss = 3.26124
epoch 6   	 train_loss = 3.12830 	 valid_loss = 3.30434
epoch 7   	 train_loss = 3.02660 	 valid_loss = 3.07529
epoch 8   	 train_loss = 2.87197 	 valid_loss = 2.78744
epoch 9   	 train_loss = 2.65763 	 valid_loss = 2.47484
epoch 10  	 train_loss = 2.42792 	 valid_loss = 2.26536
epoch 11  	 train_loss = 2.19565 	 valid_loss = 2.05546
epoch 12  	 train_loss = 1.97280 	 valid_loss = 1.89853
epoch 13  	 train_loss = 1.84621 	 valid_loss = 1.77564
epoch 14  	 train_loss = 1.72758 	 valid_loss = 1.69474
epoch 15  	 train_loss = 1.63231 	 valid_loss = 1.59562
epoch 16  	 train_loss = 1.52768 	 valid_loss = 1.56979
epoch 17  	 train_loss = 1.47237 	 valid_loss = 1.57130
epoch 18  	 train_loss = 1.39643 	 valid_loss = 1.55867
epoch 19  	 train_loss = 1.34991 	 valid_loss = 1.57479
epoch 20  	 train_loss = 1.27636 	 valid_loss = 1.58785
epoch 21  	 train_loss = 1.20379 	 valid_loss = 1.47979
epoch 22  	 train_loss = 1.18728 	 valid_loss = 1.46193
epoch 23  	 train_loss = 1.13306 	 valid_loss = 1.43562
epoch 24  	 train_loss = 1.10937 	 valid_loss = 1.43002
epoch 25  	 train_loss = 1.05546 	 valid_loss = 1.48378
epoch 26  	 train_loss = 0.99759 	 valid_loss = 1.58458
epoch 27  	 train_loss = 0.93897 	 valid_loss = 1.43405
epoch 28  	 train_loss = 0.86892 	 valid_loss = 1.54217
epoch 29  	 train_loss = 0.84084 	 valid_loss = 1.53145
epoch 30  	 train_loss = 0.81184 	 valid_loss = 1.49920
epoch 31  	 train_loss = 0.75622 	 valid_loss = 1.55447
epoch 32  	 train_loss = 0.71663 	 valid_loss = 1.78646
epoch 33  	 train_loss = 0.66875 	 valid_loss = 1.72383
