epoch 0   	 train_loss = 5.70588 	 valid_loss = 3.78809
epoch 1   	 train_loss = 3.50931 	 valid_loss = 3.58630
epoch 2   	 train_loss = 3.43685 	 valid_loss = 3.44315
epoch 3   	 train_loss = 3.26678 	 valid_loss = 3.29757
epoch 4   	 train_loss = 3.17232 	 valid_loss = 3.29808
epoch 5   	 train_loss = 3.15210 	 valid_loss = 3.25105
epoch 6   	 train_loss = 3.13707 	 valid_loss = 3.17353
epoch 7   	 train_loss = 3.10273 	 valid_loss = 3.10513
epoch 8   	 train_loss = 3.00482 	 valid_loss = 2.86490
epoch 9   	 train_loss = 2.76510 	 valid_loss = 2.44446
epoch 10  	 train_loss = 2.55495 	 valid_loss = 2.22353
epoch 11  	 train_loss = 2.31819 	 valid_loss = 2.00734
epoch 12  	 train_loss = 2.13475 	 valid_loss = 1.85125
epoch 13  	 train_loss = 2.02773 	 valid_loss = 2.06429
epoch 14  	 train_loss = 1.89338 	 valid_loss = 1.73828
epoch 15  	 train_loss = 1.77335 	 valid_loss = 1.56560
epoch 16  	 train_loss = 1.70268 	 valid_loss = 1.58159
epoch 17  	 train_loss = 1.65729 	 valid_loss = 1.60830
epoch 18  	 train_loss = 1.55136 	 valid_loss = 1.51573
epoch 19  	 train_loss = 1.53091 	 valid_loss = 1.44327
epoch 20  	 train_loss = 1.47409 	 valid_loss = 1.42087
epoch 21  	 train_loss = 1.39669 	 valid_loss = 1.42320
epoch 22  	 train_loss = 1.34493 	 valid_loss = 1.55068
epoch 23  	 train_loss = 1.31788 	 valid_loss = 1.47592
epoch 24  	 train_loss = 1.27284 	 valid_loss = 1.37277
epoch 25  	 train_loss = 1.23806 	 valid_loss = 1.32479
epoch 26  	 train_loss = 1.15710 	 valid_loss = 1.34965
epoch 27  	 train_loss = 1.11900 	 valid_loss = 1.34036
epoch 28  	 train_loss = 1.10556 	 valid_loss = 1.33897
epoch 29  	 train_loss = 1.04967 	 valid_loss = 1.39136
epoch 30  	 train_loss = 1.01429 	 valid_loss = 1.38887
epoch 31  	 train_loss = 0.97638 	 valid_loss = 1.34813
epoch 32  	 train_loss = 0.93307 	 valid_loss = 1.39072
epoch 33  	 train_loss = 0.86708 	 valid_loss = 1.34608
epoch 34  	 train_loss = 0.88434 	 valid_loss = 1.33825
