epoch 0   	 train_loss = 5.74852 	 valid_loss = 3.91201
epoch 1   	 train_loss = 3.53052 	 valid_loss = 3.61597
epoch 2   	 train_loss = 3.45678 	 valid_loss = 3.49377
epoch 3   	 train_loss = 3.29188 	 valid_loss = 3.31541
epoch 4   	 train_loss = 3.18292 	 valid_loss = 3.29771
epoch 5   	 train_loss = 3.15809 	 valid_loss = 3.31085
epoch 6   	 train_loss = 3.12458 	 valid_loss = 3.14556
epoch 7   	 train_loss = 3.02404 	 valid_loss = 2.87055
epoch 8   	 train_loss = 2.88474 	 valid_loss = 2.59651
epoch 9   	 train_loss = 2.73540 	 valid_loss = 2.31210
epoch 10  	 train_loss = 2.49261 	 valid_loss = 2.18824
epoch 11  	 train_loss = 2.35757 	 valid_loss = 2.00143
epoch 12  	 train_loss = 2.14308 	 valid_loss = 1.79939
epoch 13  	 train_loss = 2.04046 	 valid_loss = 1.68760
epoch 14  	 train_loss = 1.89452 	 valid_loss = 1.63219
epoch 15  	 train_loss = 1.83198 	 valid_loss = 1.55368
epoch 16  	 train_loss = 1.71883 	 valid_loss = 1.41774
epoch 17  	 train_loss = 1.60647 	 valid_loss = 1.44344
epoch 18  	 train_loss = 1.58422 	 valid_loss = 1.31029
epoch 19  	 train_loss = 1.49795 	 valid_loss = 1.23533
epoch 20  	 train_loss = 1.44547 	 valid_loss = 1.36639
epoch 21  	 train_loss = 1.44800 	 valid_loss = 1.29227
epoch 22  	 train_loss = 1.35365 	 valid_loss = 1.21572
epoch 23  	 train_loss = 1.30808 	 valid_loss = 1.18249
epoch 24  	 train_loss = 1.27982 	 valid_loss = 1.22447
epoch 25  	 train_loss = 1.25389 	 valid_loss = 1.09536
epoch 26  	 train_loss = 1.16128 	 valid_loss = 1.07242
epoch 27  	 train_loss = 1.10114 	 valid_loss = 1.12344
epoch 28  	 train_loss = 1.06523 	 valid_loss = 1.09487
epoch 29  	 train_loss = 1.03468 	 valid_loss = 1.09996
epoch 30  	 train_loss = 1.00162 	 valid_loss = 1.05300
epoch 31  	 train_loss = 0.95374 	 valid_loss = 1.08899
epoch 32  	 train_loss = 0.92001 	 valid_loss = 1.10726
epoch 33  	 train_loss = 0.89818 	 valid_loss = 0.98010
epoch 34  	 train_loss = 0.86213 	 valid_loss = 1.11251
epoch 35  	 train_loss = 0.82143 	 valid_loss = 1.07339
epoch 36  	 train_loss = 0.79677 	 valid_loss = 1.15445
epoch 37  	 train_loss = 0.76277 	 valid_loss = 1.11208
epoch 38  	 train_loss = 0.71068 	 valid_loss = 1.14735
epoch 39  	 train_loss = 0.68746 	 valid_loss = 1.10890
epoch 40  	 train_loss = 0.65014 	 valid_loss = 1.27444
epoch 41  	 train_loss = 0.63321 	 valid_loss = 1.17350
epoch 42  	 train_loss = 0.60232 	 valid_loss = 1.14847
