epoch 0   	 train_loss = 5.86401 	 valid_loss = 3.82929
epoch 1   	 train_loss = 3.51660 	 valid_loss = 3.59794
epoch 2   	 train_loss = 3.42761 	 valid_loss = 3.46305
epoch 3   	 train_loss = 3.30452 	 valid_loss = 3.31723
epoch 4   	 train_loss = 3.19815 	 valid_loss = 3.32728
epoch 5   	 train_loss = 3.17505 	 valid_loss = 3.31596
epoch 6   	 train_loss = 3.14993 	 valid_loss = 3.21235
epoch 7   	 train_loss = 3.05767 	 valid_loss = 2.91277
epoch 8   	 train_loss = 2.86893 	 valid_loss = 2.65349
epoch 9   	 train_loss = 2.63160 	 valid_loss = 2.34655
epoch 10  	 train_loss = 2.41054 	 valid_loss = 2.13573
epoch 11  	 train_loss = 2.26502 	 valid_loss = 1.98348
epoch 12  	 train_loss = 2.11574 	 valid_loss = 1.89848
epoch 13  	 train_loss = 2.00982 	 valid_loss = 1.73483
epoch 14  	 train_loss = 1.89618 	 valid_loss = 1.61973
epoch 15  	 train_loss = 1.73805 	 valid_loss = 1.66844
epoch 16  	 train_loss = 1.72865 	 valid_loss = 1.58737
epoch 17  	 train_loss = 1.64688 	 valid_loss = 1.56708
epoch 18  	 train_loss = 1.55607 	 valid_loss = 1.56827
epoch 19  	 train_loss = 1.51365 	 valid_loss = 1.43222
epoch 20  	 train_loss = 1.43033 	 valid_loss = 1.43705
epoch 21  	 train_loss = 1.41344 	 valid_loss = 1.52242
epoch 22  	 train_loss = 1.36502 	 valid_loss = 1.38114
epoch 23  	 train_loss = 1.33183 	 valid_loss = 1.38481
epoch 24  	 train_loss = 1.28435 	 valid_loss = 1.31174
epoch 25  	 train_loss = 1.21260 	 valid_loss = 1.38285
epoch 26  	 train_loss = 1.18093 	 valid_loss = 1.34348
epoch 27  	 train_loss = 1.10937 	 valid_loss = 1.33241
epoch 28  	 train_loss = 1.08599 	 valid_loss = 1.36314
epoch 29  	 train_loss = 1.08512 	 valid_loss = 1.30776
epoch 30  	 train_loss = 0.97957 	 valid_loss = 1.32263
epoch 31  	 train_loss = 0.96251 	 valid_loss = 1.38167
epoch 32  	 train_loss = 0.93754 	 valid_loss = 1.22384
epoch 33  	 train_loss = 0.89048 	 valid_loss = 1.34350
epoch 34  	 train_loss = 0.85179 	 valid_loss = 1.39220
epoch 35  	 train_loss = 0.80348 	 valid_loss = 1.31940
epoch 36  	 train_loss = 0.78667 	 valid_loss = 1.36430
epoch 37  	 train_loss = 0.75425 	 valid_loss = 1.36802
epoch 38  	 train_loss = 0.71401 	 valid_loss = 1.42685
epoch 39  	 train_loss = 0.67526 	 valid_loss = 1.37130
epoch 40  	 train_loss = 0.62816 	 valid_loss = 1.35463
epoch 41  	 train_loss = 0.61340 	 valid_loss = 1.41909
