epoch 0   	 train_loss = 5.76744 	 valid_loss = 3.78322
epoch 1   	 train_loss = 3.52354 	 valid_loss = 3.61933
epoch 2   	 train_loss = 3.43199 	 valid_loss = 3.44829
epoch 3   	 train_loss = 3.26319 	 valid_loss = 3.30909
epoch 4   	 train_loss = 3.18492 	 valid_loss = 3.30003
epoch 5   	 train_loss = 3.15230 	 valid_loss = 3.29048
epoch 6   	 train_loss = 3.12319 	 valid_loss = 3.22471
epoch 7   	 train_loss = 3.04876 	 valid_loss = 3.07065
epoch 8   	 train_loss = 2.88826 	 valid_loss = 2.86428
epoch 9   	 train_loss = 2.67549 	 valid_loss = 2.30232
epoch 10  	 train_loss = 2.45850 	 valid_loss = 2.10831
epoch 11  	 train_loss = 2.26956 	 valid_loss = 2.14958
epoch 12  	 train_loss = 2.08766 	 valid_loss = 1.87791
epoch 13  	 train_loss = 1.98597 	 valid_loss = 1.65291
epoch 14  	 train_loss = 1.84802 	 valid_loss = 1.64442
epoch 15  	 train_loss = 1.72980 	 valid_loss = 1.55449
epoch 16  	 train_loss = 1.64530 	 valid_loss = 1.56410
epoch 17  	 train_loss = 1.55289 	 valid_loss = 1.48841
epoch 18  	 train_loss = 1.50099 	 valid_loss = 1.44688
epoch 19  	 train_loss = 1.51165 	 valid_loss = 1.69281
epoch 20  	 train_loss = 1.42070 	 valid_loss = 1.50827
epoch 21  	 train_loss = 1.28750 	 valid_loss = 1.39489
epoch 22  	 train_loss = 1.34082 	 valid_loss = 1.40209
epoch 23  	 train_loss = 1.30024 	 valid_loss = 1.29845
epoch 24  	 train_loss = 1.23449 	 valid_loss = 1.44018
epoch 25  	 train_loss = 1.16280 	 valid_loss = 1.37782
epoch 26  	 train_loss = 1.13768 	 valid_loss = 1.31309
epoch 27  	 train_loss = 1.09899 	 valid_loss = 1.34734
epoch 28  	 train_loss = 1.04098 	 valid_loss = 1.26376
epoch 29  	 train_loss = 0.98447 	 valid_loss = 1.39032
epoch 30  	 train_loss = 0.92672 	 valid_loss = 1.23599
epoch 31  	 train_loss = 0.90456 	 valid_loss = 1.36071
epoch 32  	 train_loss = 0.85707 	 valid_loss = 1.28165
epoch 33  	 train_loss = 0.88468 	 valid_loss = 1.41800
epoch 34  	 train_loss = 0.78562 	 valid_loss = 1.35143
epoch 35  	 train_loss = 0.77877 	 valid_loss = 1.39630
epoch 36  	 train_loss = 0.80613 	 valid_loss = 1.34832
epoch 37  	 train_loss = 0.73865 	 valid_loss = 1.40982
epoch 38  	 train_loss = 0.73995 	 valid_loss = 1.39671
epoch 39  	 train_loss = 0.67903 	 valid_loss = 1.39582
