epoch 0   	 train_loss = 5.49748 	 valid_loss = 3.75638
epoch 1   	 train_loss = 3.50169 	 valid_loss = 3.56878
epoch 2   	 train_loss = 3.42175 	 valid_loss = 3.44505
epoch 3   	 train_loss = 3.26431 	 valid_loss = 3.32891
epoch 4   	 train_loss = 3.17954 	 valid_loss = 3.38223
epoch 5   	 train_loss = 3.15548 	 valid_loss = 3.32823
epoch 6   	 train_loss = 3.14154 	 valid_loss = 3.19255
epoch 7   	 train_loss = 3.08985 	 valid_loss = 3.00839
epoch 8   	 train_loss = 2.94074 	 valid_loss = 2.72483
epoch 9   	 train_loss = 2.76559 	 valid_loss = 2.48405
epoch 10  	 train_loss = 2.46910 	 valid_loss = 2.10267
epoch 11  	 train_loss = 2.25965 	 valid_loss = 1.87459
epoch 12  	 train_loss = 2.06083 	 valid_loss = 1.80262
epoch 13  	 train_loss = 1.92557 	 valid_loss = 1.54187
epoch 14  	 train_loss = 1.83800 	 valid_loss = 1.51380
epoch 15  	 train_loss = 1.72376 	 valid_loss = 1.45870
epoch 16  	 train_loss = 1.62168 	 valid_loss = 1.45231
epoch 17  	 train_loss = 1.52293 	 valid_loss = 1.31454
epoch 18  	 train_loss = 1.52260 	 valid_loss = 1.34430
epoch 19  	 train_loss = 1.43917 	 valid_loss = 1.37686
epoch 20  	 train_loss = 1.35756 	 valid_loss = 1.28627
epoch 21  	 train_loss = 1.33861 	 valid_loss = 1.29307
epoch 22  	 train_loss = 1.29848 	 valid_loss = 1.31293
epoch 23  	 train_loss = 1.21447 	 valid_loss = 1.28580
epoch 24  	 train_loss = 1.19250 	 valid_loss = 1.21677
epoch 25  	 train_loss = 1.11097 	 valid_loss = 1.19331
epoch 26  	 train_loss = 1.10702 	 valid_loss = 1.24096
epoch 27  	 train_loss = 1.04010 	 valid_loss = 1.24729
epoch 28  	 train_loss = 0.98747 	 valid_loss = 1.20965
epoch 29  	 train_loss = 0.96699 	 valid_loss = 1.20381
epoch 30  	 train_loss = 0.94865 	 valid_loss = 1.27915
epoch 31  	 train_loss = 0.88231 	 valid_loss = 1.25639
epoch 32  	 train_loss = 0.86395 	 valid_loss = 1.22642
epoch 33  	 train_loss = 0.83899 	 valid_loss = 1.35624
epoch 34  	 train_loss = 0.78782 	 valid_loss = 1.37847
